Sota name;Parent name;Clue;Wiki
Элемент 3Б1;Группа 3Б;Краткое описание элемента 3Б1;Описание элемента 3Б1
Элемент 3Б2;Группа 3Б;Краткое описание элемента 3Б2;Описание элемента 3Б2
Элемент 3Б3;Группа 3Б;Краткое описание элемента 3Б3;Описание элемента 3Б3
Группа 3В;Категория 3;Краткое описание группы 3В;Описание группы 3В
Элемент 3В1;Группа 3В;Краткое описание элемента 3В1;Описание элемента 3В1
Элемент 3В2;Группа 3В;Краткое описание элемента 3В2;Описание элемента 3В2
Элемент 3В3;Группа 3В;Краткое описание элемента 3В3;Описание элемента 3В3
Категория 4;;Краткое описание категории 4;Описание категории 4
Группа 4А;Категория 4;Краткое описание группы 4А;Описание группы 4А
Элемент 4А1;Группа 4А;Краткое описание элемента 4А1;Описание элемента 4А1
Элемент 4А2;Группа 4А;Краткое описание элемента 4А2;Описание элемента 4А2
Элемент 4А3;Группа 4А;Краткое описание элемента 4А3;Описание элемента 4А3
Группа 4Б;Категория 4;Краткое описание группы 4Б;Описание группы 4Б
Элемент 4Б1;Группа 4Б;Краткое описание элемента 4Б1;Описание элемента 4Б1
Элемент 4Б2;Группа 4Б;Краткое описание элемента 4Б2;Описание элемента 4Б2
Элемент 4Б3;Группа 4Б;Краткое описание элемента 4Б3;Описание элемента 4Б3
Группа 4В;Категория 4;Краткое описание группы 4В;Описание группы 4В
Элемент 4В1;Группа 4В;Краткое описание элемента 4В1;Описание элемента 4В1
Элемент 4В2;Группа 4В;Краткое описание элемента 4В2;Описание элемента 4В2
Элемент 4В3;Группа 4В;Краткое описание элемента 4В3;Описание элемента 4В3
Категория 5;;Краткое описание категории 5;Описание категории 5
Группа 5А;Категория 5;Краткое описание группы 5А;Описание группы 5А
Элемент 5А1;Группа 5А;Краткое описание элемента 5А1;Описание элемента 5А1
Элемент 5А2;Группа 5А;Краткое описание элемента 5А2;Описание элемента 5А2
Элемент 5А3;Группа 5А;Краткое описание элемента 5А3;Описание элемента 5А3
Группа 5Б;Категория 5;Краткое описание группы 5Б;Описание группы 5Б
Элемент 5Б1;Группа 5Б;Краткое описание элемента 5Б1;Описание элемента 5Б1
Элемент 5Б2;Группа 5Б;Краткое описание элемента 5Б2;Описание элемента 5Б2
Элемент 5Б3;Группа 5Б;Краткое описание элемента 5Б3;Описание элемента 5Б3
Группа 5В;Категория 5;Краткое описание группы 5В;Описание группы 5В
Элемент 5В1;Группа 5В;Краткое описание элемента 5В1;Описание элемента 5В1
Элемент 5В2;Группа 5В;Краткое описание элемента 5В2;Описание элемента 5В2
Элемент 5В3;Группа 5В;Краткое описание элемента 5В3;Описание элемента 5В3
Категория 6;;Краткое описание категории 6;Описание категории 6
Группа 6А;Категория 6;Краткое описание группы 6А;Описание группы 6А
Элемент 6А1;Группа 6А;Краткое описание элемента 6А1;Описание элемента 6А1
Элемент 6А2;Группа 6А;Краткое описание элемента 6А2;Описание элемента 6А2
Элемент 6А3;Группа 6А;Краткое описание элемента 6А3;Описание элемента 6А3
Группа 6Б;Категория 6;Краткое описание группы 6Б;Описание группы 6Б
Элемент 6Б1;Группа 6Б;Краткое описание элемента 6Б1;Описание элемента 6Б1
Элемент 6Б2;Группа 6Б;Краткое описание элемента 6Б2;Описание элемента 6Б2
Элемент 6Б3;Группа 6Б;Краткое описание элемента 6Б3;Описание элемента 6Б3
Группа 6В;Категория 6;Краткое описание группы 6В;Описание группы 6В
Элемент 6В1;Группа 6В;Краткое описание элемента 6В1;Описание элемента 6В1
Элемент 6В2;Группа 6В;Краткое описание элемента 6В2;Описание элемента 6В2
Элемент 6В3;Группа 6В;Краткое описание элемента 6В3;Описание элемента 6В3
